Authorised on;Processed on;Amount;Currency;Description;Payment type;Status;Assunto;Amount in foreign currency;Currency;Exchange rate
29.08.23;30.08.23;-8,6;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
27.08.23;28.08.23;-32,98;EUR;AMZN Mktp DE*1M9RS2X54;e-commerce;Processed;amazon;;;
26.08.23;28.08.23;-3,5;EUR;POLLUX GRUNDSTÜCKSGESE;contactless;Processed;0;;;
26.08.23;28.08.23;-74,4;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
26.08.23;28.08.23;-24,65;EUR;TEDI Fil  5367;contactless;Processed;compras casa;;;
25.08.23;28.08.23;-7,99;EUR;VIMN Germany GmbH;e-commerce;Processed;0;;;
24.08.23;25.08.23;-7,99;EUR;KiK Fil  6424;contactless;Processed;0;;;
24.08.23;25.08.23;-61,67;EUR;AMZN Mktp DE*1M8TF3NC4;e-commerce;Processed;amazon;;;
24.08.23;25.08.23;-1,52;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
23.08.23;24.08.23;-69,3;EUR;Le Burger Muenchen;contactless;Processed;restaurante;;;
23.08.23;24.08.23;-35,85;EUR;MOEMAX.DE;e-commerce;Processed;compras casa;;;
22.08.23;23.08.23;-15,1;EUR;SumUp  *VILLA ROMANTIC;contactless;Processed;restaurante;;;
22.08.23;23.08.23;-10,5;EUR;SumUp  *VILLA ROMANTIC;contactless;Processed;restaurante;;;
22.08.23;23.08.23;-4,99;EUR;REWE Olching Hauptstr.;contactless;Processed;mercado;;;
22.08.23;10.08.23;2,34;EUR;Teilerstattung Karten;unknown;Processed;0;;;
21.08.23;22.08.23;-30,02;EUR;REWE Markt GmbH ZW;contactless;Processed;mercado;;;
21.08.23;21.08.23;-0,43;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
21.08.23;21.08.23;-0,15;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.08.23;21.08.23;-21,95;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;1.084.327
20.08.23;21.08.23;-35,65;EUR;SP ACQUISITION.COM;e-commerce;Processed;livro;;;
20.08.23;22.08.23;-28,69;EUR;AMZN Mktp DE*1F4PT09A4;e-commerce;Processed;amazon;;;
20.08.23;21.08.23;-11,4;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
19.08.23;21.08.23;-2,95;EUR;Backstube Wuensche;contactless;Processed;Padaria;;;
18.08.23;21.08.23;-67,96;EUR;DECATHLON Deutschland;contactless;Processed;compras roupa;;;
18.08.23;21.08.23;-7,92;EUR;CF ETISON, LLC;e-commerce;Processed;0;-8,59;USD;1.084.327
18.08.23;21.08.23;-3,35;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
16.08.23;17.08.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.08.23;17.08.23;-10,5;EUR;KIOSK FREIBAD MAMMENDO;contactless;Processed;restaurante;;;
16.08.23;17.08.23;-18,5;EUR;KIOSK FREIBAD MAMMENDO;contactless;Processed;restaurante;;;
14.08.23;15.08.23;-8,99;EUR;AMZNPrime DE*1F6074Z14;e-commerce;Processed;amazon;;;
14.08.23;15.08.23;-100,43;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
14.08.23;17.08.23;-11,5;EUR;APOTHEKE CENTER 1;contactless;Processed;farmacia;;;
09.08.23;10.08.23;-46,97;EUR;DANKE BZO OLCHING GMBH;contactless;Processed;Baumarkt;;;
09.08.23;10.08.23;1.949,10;EUR;Lastschrift;direct-debit;Processed;0;;;
09.08.23;09.08.23;-11,5;EUR;monatlicher Kartenpreis;product-fee;Processed;Taxa cartao M&M;;;
07.08.23;09.08.23;-46,71;EUR;AMZN Mktp DE*1V6QD3HY4;e-commerce;Processed;amazon;;;
06.08.23;07.08.23;-4,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
06.08.23;07.08.23;-6,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
06.08.23;07.08.23;-3,15;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
04.08.23;07.08.23;-11,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
02.08.23;03.08.23;-105,9;EUR;home24 SE;e-commerce;Processed;compras casa;;;
01.08.23;02.08.23;-29,99;EUR;MICROSOFT*STORE;e-commerce;Processed;Software;;;
01.08.23;01.08.23;-0,21;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
31.07.23;01.08.23;-10,81;EUR;TEBEX.ORG;e-commerce;Processed;VideoGame;-11,89;USD;1.100.323
28.07.23;31.07.23;-11,25;EUR;MCDONALD S DEUTSCHLAND;contactless;Processed;restaurante;;;
25.07.23;26.07.23;-7,99;EUR;VIMN Germany GmbH;e-commerce;Processed;0;;;
25.07.23;26.07.23;-10,5;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
25.07.23;26.07.23;-25,8;EUR;KatNi-Bistro;contactless;Processed;restaurante;;;
24.07.23;25.07.23;-16,05;EUR;AMZN Mktp DE*1J47694W5;e-commerce;Processed;amazon;;;
24.07.23;08.07.23;59,95;EUR;AMZ*AllSpares;deposit;Processed;amazon;;;
24.07.23;08.07.23;30,94;EUR;AMZ*Amazon.de;deposit;Processed;amazon;;;
23.07.23;24.07.23;-93;EUR;Hotel Michels Stern;contactless;Processed;restaurante;;;
23.07.23;24.07.23;-4,24;EUR;Rasthaus Sued;contactless;Processed;0;;;
23.07.23;24.07.23;-214;EUR;Hotel MainChateau;contactless;Processed;Hotel casamento;;;
22.07.23;24.07.23;-14,94;EUR;ALDI SUED;contactless;Processed;mercado;;;
22.07.23;24.07.23;-3,05;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
21.07.23;24.07.23;-75,71;EUR;AMZN Mktp DE*T217V1H15;e-commerce;Processed;amazon;;;
21.07.23;21.07.23;-0,42;EUR;1,95% für Währungsumrechn;foreign-trx-fee;Processed;0;;;
20.07.23;21.07.23;-21,38;EUR;CHATGPT SUBSCRIPTION;e-commerce;Processed;ChatGPT;-23,8;USD;111.305
20.07.23;21.07.23;-4,5;EUR;BACKSTUBE WUENSCHE;contactless;Processed;Padaria;;;
19.07.23;20.07.23;-3,45;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
18.07.23;19.07.23;-68,78;EUR;ALDI SUED;contactless;Processed;mercado;;;
18.07.23;19.07.23;-6;EUR;TEDi Fil  4534;contactless;Processed;compras casa;;;
18.07.23;18.07.23;-14,44;EUR;AMZN Mktp DE*1S8YH1HJ4;e-commerce;Processed;amazon;;;
17.07.23;18.07.23;-64;EUR;The Body Shop;contactless;Processed;Presente;;;
17.07.23;20.07.23;-65,13;EUR;AMZN Mktp DE*AP7172LU5;e-commerce;Processed;amazon;;;
17.07.23;08.07.23;15,03;EUR;Zara Deutschland 3421;deposit;Processed;compras roupa;;;
16.07.23;17.07.23;-2,99;EUR;APPLE.COM/BILL;e-commerce;Processed;Apple iCloud;;;
16.07.23;17.07.23;-5,65;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
15.07.23;17.07.23;-107,4;EUR;Lidl Dienstleistung;contactless;Processed;mercado;;;
14.07.23;17.07.23;-8,99;EUR;AMZNPrime DE*WO3340G25;e-commerce;Processed;amazon;;;
14.07.23;17.07.23;-29,99;EUR;TALLY WEIJL Muenchen O;retail-store;Processed;compras roupa;;;
14.07.23;17.07.23;-12,97;EUR;Depot 1317;contactless;Processed;0;;;
14.07.23;17.07.23;-12,99;EUR;Zara Deutschland 3421;contactless;Processed;compras roupa;;;
14.07.23;17.07.23;-6,25;EUR;Ihle Cafe Geiselbullac;contactless;Processed;Padaria;;;
14.07.23;18.07.23;-48,04;EUR;AMZN Mktp DE*YX1BQ6ZA5;e-commerce;Processed;amazon;;;
13.07.23;14.07.23;-31,69;EUR;EDEKA OLCHING 826;contactless;Processed;mercado;;;
13.07.23;13.07.23;-57,26;EUR;TK Maxx;contactless;Processed;compras roupa;;;
